minmax,z_score,Age,discretise,Gender,binary,equi-width-bin1,equi-width-bin2,equi-width-bin3,equi-depth-bin1,equi-depth-bin2,equi-depth-bin3
0.475,-0.047,36,mid_age,M,0,29,41,53,29,41,54
0.325,-0.609,30,young,F,1,29,41,53,29,41,54
0.350,-0.516,31,young,M,0,29,41,53,29,41,54
0.125,-1.359,22,young,F,1,29,41,53,29,41,54
0.475,-0.047,36,mid_age,F,1,29,41,53,29,41,54
0.550,0.234,39,mid_age,F,1,29,41,53,29,41,54
0.300,-0.703,29,young,F,1,29,41,53,29,41,54
0.350,-0.516,31,young,F,1,29,41,53,29,41,54
0.975,1.826,56,mature,F,1,29,41,53,29,41,54
0.425,-0.234,34,young,F,1,29,41,53,29,41,54
0.225,-0.984,26,young,F,1,29,41,53,29,41,54
0.325,-0.609,30,young,F,1,29,41,53,29,41,54
0.275,-0.797,28,young,M,0,29,41,53,29,42,54
0.500,0.047,37,mid_age,F,1,29,41,53,29,42,54
0.575,0.328,40,mid_age,F,1,29,41,53,29,42,54
0.150,-1.265,23,young,M,0,29,41,53,29,42,54
0.300,-0.703,29,young,M,0,29,41,53,29,42,54
0.700,0.796,45,mid_age,F,1,29,41,53,29,42,54
0.300,-0.703,29,young,F,1,29,41,53,29,42,54
0.625,0.515,42,mid_age,M,0,29,41,53,29,42,54
0.500,0.047,37,mid_age,F,1,29,41,53,29,42,55
0.875,1.452,52,mid_age,M,0,29,41,53,29,42,55
0.175,-1.171,24,young,M,0,29,41,53,29,42,55
0.925,1.639,54,mid_age,F,1,29,41,53,29,42,55
0.025,-1.733,18,young,F,1,29,41,53,29,42,55
0.375,-0.422,32,young,M,0,29,41,53,29,42,55
0.925,1.639,54,mid_age,F,1,29,41,53,29,42,55
0.125,-1.359,22,young,M,0,29,41,53,29,42,55
0.450,-0.141,35,young,F,1,29,41,53,29,42,55
0.100,-1.452,21,young,M,0,29,41,53,29,42,55
0.250,-0.890,27,young,F,1,29,41,53,29,42,55
0.950,1.733,55,mid_age,F,1,29,41,53,29,42,55
0.625,0.515,42,mid_age,F,1,29,41,53,29,42,55
0.800,1.171,49,mid_age,F,1,29,41,53,29,42,55
0.900,1.545,53,mid_age,F,1,29,41,53,29,42,55
